x: 198, y: -178
x: 214.10681045510069, y: 85.48096170404449
x: 216.10406363175503, y: 85.58574599840142
x: 218.10131680840948, y: 85.69053029275847
x: 220.09856998506393, y: 85.79531458711551
x: 222.09582316171827, y: 85.90009888147256
x: 224.09247933017127, y: 85.78449548628623
x: 226.08913549862427, y: 85.6688920910999
x: 228.08579166707727, y: 85.55328869591358
x: 230.08244783553027, y: 85.43768530072714
x: 232.07910400398328, y: 85.32208190554081
x: 234.07576017243628, y: 85.20647851035449
x: 236.07241634088928, y: 85.09087511516816
x: 238.06907250934228, y: 84.97527171998183
x: 240.06572867779516, y: 84.8596683247955
x: 242.06238484624816, y: 84.74406492960918
x: 244.05904101470117, y: 84.62846153442274
x: 246.05569718315417, y: 84.51285813923641
x: 248.05235335160717, y: 84.39725474405009
x: 250.04900952006017, y: 84.28165134886376
x: 252.04566568851317, y: 84.16604795367743
x: 254.04232185696617, y: 84.05044455849111
x: 256.03897802541906, y: 83.93484116330478
x: 258.03563419387206, y: 83.81923776811834
x: 260.03229036232506, y: 83.70363437293202
x: 262.02894653077806, y: 83.58803097774569
x: 264.02560269923106, y: 83.47242758255936
x: 266.02225886768406, y: 83.35682418737304
x: 268.01891503613706, y: 83.24122079218671
x: 270.01557120459006, y: 83.12561739700038
x: 272.01222737304306, y: 83.01001400181406
x: 274.00888354149606, y: 82.89441060662762
x: 276.00553970994906, y: 82.77880721144129
x: 278.00219587840206, y: 82.66320381625496
x: 279.99885204685506, y: 82.54760042106864
x: 281.99550821530806, y: 82.43199702588231
x: 283.99216438376106, y: 82.31639363069598
x: 285.98882055221407, y: 82.20079023550966
x: 287.98547672066707, y: 82.08518684032322
x: 289.98213288912007, y: 81.96958344513689
x: 291.97878905757307, y: 81.85398004995056
x: 293.97544522602607, y: 81.73837665476424
x: 295.97210139447907, y: 81.62277325957791
x: 297.96875756293207, y: 81.50716986439159
x: 299.96541373138507, y: 81.39156646920526
x: 301.96206989983807, y: 81.27596307401882
x: 303.95872606829107, y: 81.16035967883249
x: 305.9553822367441, y: 81.04475628364617
x: 307.9520384051971, y: 80.92915288845984
x: 309.9486945736501, y: 80.81354949327351
x: 311.9453507421031, y: 80.69794609808719
x: 313.9420069105561, y: 80.58234270290086
x: 315.9386630790091, y: 80.46673930771442
x: 317.9353192474621, y: 80.3511359125281
x: 319.9319754159151, y: 80.23553251734177
x: 321.92863158436785, y: 80.11992912215544
x: 323.90738752772404, y: 79.82919743032909
x: 325.88614347108046, y: 79.53846573850274
x: 327.86489941443665, y: 79.24773404667638
x: 329.84365535779307, y: 78.95700235485003
x: 331.82241130114926, y: 78.66627066302374
x: 333.80116724450545, y: 78.37553897119739
x: 335.77992318786187, y: 78.08480727937103
x: 337.75867913121806, y: 77.79407558754468
x: 339.73743507457425, y: 77.50334389571833
x: 341.71619101793067, y: 77.21261220389198
x: 343.69494696128686, y: 76.92188051206563
x: 345.6737029046433, y: 76.63114882023933
x: 347.65245884799947, y: 76.34041712841298
x: 349.63121479135566, y: 76.04968543658663
x: 351.6099707347121, y: 75.75895374476028
x: 353.58872667806827, y: 75.46822205293392
x: 355.56748262142446, y: 75.17749036110757
x: 357.5462385647809, y: 74.88675866928122
x: 359.52499450813707, y: 74.59602697745487
x: 361.5037504514935, y: 74.30529528562852
x: 363.4825063948497, y: 74.01456359380222
x: 365.46126233820587, y: 73.72383190197587
x: 367.4400182815623, y: 73.43310021014952
x: 369.4187742249185, y: 73.14236851832317
x: 371.3975301682749, y: 72.85163682649682
x: 373.3762861116311, y: 72.56090513467046
x: 375.3550420549873, y: 72.27017344284411
x: 377.3337979983437, y: 71.97944175101782
x: 379.3125539416999, y: 71.68871005919146
x: 381.2913098850561, y: 71.39797836736511
x: 383.25409978563243, y: 71.01397861971475
x: 385.2168896862088, y: 70.62997887206438
x: 387.17967958678514, y: 70.24597912441408
x: 389.1424694873615, y: 69.86197937676371
x: 391.10525938793785, y: 69.47797962911335
x: 393.0680492885142, y: 69.09397988146299
x: 395.03083918909033, y: 68.70998013381268
x: 396.9936290896667, y: 68.32598038616231
x: 398.95641899024304, y: 67.94198063851195
x: 400.9192088908194, y: 67.55798089086159
x: 402.88199879139574, y: 67.17398114321128
x: 404.8447886919721, y: 66.78998139556091
x: 406.80757859254845, y: 66.40598164791055
x: 408.7703684931248, y: 66.02198190026019
x: 410.73315839370116, y: 65.63798215260988
x: 412.6959482942775, y: 65.25398240495952
x: 414.65873819485387, y: 64.86998265730915
x: 416.6215280954302, y: 64.48598290965879
x: 418.5843179960066, y: 64.10198316200848
x: 420.54710789658293, y: 63.717983414358116
x: 422.50989779715906, y: 63.33398366670775
x: 424.4726876977354, y: 62.94998391905739
x: 426.43547759831176, y: 62.56598417140708
x: 428.3982674988881, y: 62.18198442375672
x: 430.36105739946447, y: 61.79798467610635
x: 432.3238473000408, y: 61.41398492845599
x: 434.2866372006172, y: 61.02998518080568
x: 436.24942710119353, y: 60.64598543315532
x: 438.2122170017699, y: 60.26198568550495
x: 440.17500690234624, y: 59.87798593785459
x: 442.1377968029226, y: 59.49398619020428
x: 444.10058670349895, y: 59.10998644255392
x: 446.0633766040753, y: 58.725986694903554
x: 448.0261665046514, y: 58.34198694725319
x: 449.9889564052278, y: 57.957987199602826
x: 451.95174630580414, y: 57.57398745195252
x: 453.9145362063805, y: 57.189987704302155
x: 455.87732610695684, y: 56.80598795665179
x: 457.8401160075332, y: 56.42198820900143
x: 459.80290590810955, y: 56.03798846135112
x: 461.7656958086859, y: 55.653988713700755
x: 463.72848570926226, y: 55.26998896605039
x: 465.6912756098386, y: 54.88598921840003
x: 467.65406551041497, y: 54.50198947074972
x: 469.6168554109913, y: 54.117989723099356
x: 471.5796453115677, y: 53.73398997544899
x: 473.542435212144, y: 53.34999022779863
x: 475.50522511272015, y: 52.96599048014832
x: 477.4680150132965, y: 52.58199073249796
x: 479.43080491387286, y: 52.19799098484759
x: 481.3935948144492, y: 51.81399123719723
x: 483.35638471502557, y: 51.42999148954692
x: 485.3191746156019, y: 51.04599174189656
x: 487.2819645161783, y: 50.66199199424619
x: 489.24475441675463, y: 50.27799224659583
x: 491.207544317331, y: 49.89399249894552
x: 493.17033421790734, y: 49.50999275129516
x: 495.1331241184837, y: 49.125993003644794
x: 497.09591401906005, y: 48.74199325599443
x: 499.0587039196364, y: 48.35799350834412
x: 501.0214938202125, y: 47.97399376069376
x: 502.9842837207889, y: 47.589994013043395
x: 504.94707362136523, y: 47.20599426539303
x: 506.8945771690576, y: 46.750769121397525
x: 508.84208071674993, y: 46.29554397740202
x: 510.7895842644423, y: 45.84031883340657
x: 512.7370878121346, y: 45.385093689411065
x: 514.684591359827, y: 44.92986854541556
x: 516.6320949075193, y: 44.47464340142005
x: 518.5795984552117, y: 44.01941825742455
x: 520.527102002904, y: 43.56419311342904
x: 522.4746055505964, y: 43.10896796943359
x: 524.4221090982887, y: 42.65374282543809
x: 526.3696126459811, y: 42.19851768144258
x: 528.3171161936734, y: 41.743292537447076
x: 530.2646197413658, y: 41.28806739345157
x: 532.2121232890581, y: 40.832842249456064
x: 534.1596268367505, y: 40.377617105460615
x: 536.1071303844428, y: 39.92239196146511
x: 538.0546339321352, y: 39.467166817469604
x: 540.0021374798275, y: 39.0119416734741
x: 541.9496410275199, y: 38.55671652947859
x: 543.8971445752122, y: 38.10149138548309
x: 545.8446481229046, y: 37.64626624148764
x: 547.7921516705969, y: 37.19104109749213
x: 549.7396552182893, y: 36.735815953496626
x: 551.6871587659816, y: 36.28059080950112
x: 553.634662313674, y: 35.825365665505615
x: 555.5821658613663, y: 35.37014052151011
x: 557.5296694090587, y: 34.91491537751466
x: 559.477172956751, y: 34.459690233519154
x: 561.4246765044434, y: 34.00446508952365
x: 563.3721800521357, y: 33.54923994552814
x: 565.3196835998281, y: 33.09401480153264
x: 567.2671871475204, y: 32.63878965753713
x: 569.1913824175294, y: 32.093379203956204
x: 571.1155776875382, y: 31.547968750375276
x: 573.0397729575473, y: 31.002558296794405
x: 574.963968227556, y: 30.457147843213477
x: 576.8881634975651, y: 29.91173738963255
x: 578.8123587675739, y: 29.36632693605162
x: 580.7365540375829, y: 28.820916482470693
x: 582.6607493075917, y: 28.275506028889822
x: 584.5849445776007, y: 27.730095575308894
x: 586.5091398476095, y: 27.184685121727966
x: 588.4333351176185, y: 26.63927466814704
x: 590.3575303876273, y: 26.09386421456611
x: 592.2817256576363, y: 25.54845376098524
x: 594.2059209276451, y: 25.00304330740431
x: 596.1301161976542, y: 24.457632853823384
x: 598.054311467663, y: 23.912222400242456
x: 599.978506737672, y: 23.366811946661528
x: 601.9027020076808, y: 22.821401493080657
x: 603.8268972776898, y: 22.27599103949973
x: 605.7510925476986, y: 21.7305805859188
x: 607.6752878177076, y: 21.185170132337873
x: 609.5994830877164, y: 20.639759678756946
x: 611.5236783577254, y: 20.094349225176074
x: 613.4478736277342, y: 19.548938771595147
x: 615.3720688977432, y: 19.00352831801422
x: 617.296264167752, y: 18.45811786443329
x: 619.2204594377611, y: 17.912707410852363
x: 621.1446547077699, y: 17.367296957271492
x: 623.0688499777789, y: 16.821886503690564
x: 624.9930452477877, y: 16.276476050109636
x: 626.9172405177967, y: 15.731065596528708
x: 628.8414357878055, y: 15.18565514294778
x: 630.7656310578145, y: 14.64024468936691
x: 632.6898263278233, y: 14.094834235785981
x: 634.6140215978323, y: 13.549423782205054
x: 636.5382168678411, y: 13.004013328624126
x: 638.4624121378502, y: 12.458602875043198
x: 640.386607407859, y: 11.913192421462327
x: 642.310802677868, y: 11.367781967881399
x: 644.2349979478768, y: 10.822371514300471
x: 646.1591932178858, y: 10.276961060719543
x: 648.0833884878946, y: 9.731550607138615
x: 650.0075837579036, y: 9.186140153557744
x: 651.9317790279124, y: 8.640729699976816
x: 653.8559742979214, y: 8.095319246395889
x: 655.7801695679302, y: 7.549908792814961
x: 657.7043648379392, y: 7.004498339234033
x: 659.628560107948, y: 6.459087885653162
x: 661.552755377957, y: 5.913677432072234
x: 663.4769506479659, y: 5.368266978491306
x: 665.4011459179749, y: 4.822856524910378
x: 667.3253411879837, y: 4.27744607132945
x: 669.2495364579927, y: 3.732035617748579
x: 671.1737317280015, y: 3.1866251641676513
x: 673.0979269980105, y: 2.6412147105867234
x: 675.0221222680193, y: 2.0958042570057955
x: 676.9463175380283, y: 1.5503938034248677
x: 678.8705128080371, y: 1.0049833498439966
x: 680.7947080780461, y: 0.45957289626306874
x: 682.7189033480549, y: -0.08583755731785914
x: 684.643098618064, y: -0.631248010898787
x: 686.5672938880728, y: -1.176658464479715
x: 688.4914891580818, y: -1.722068918060586
x: 690.4156844280906, y: -2.267479371641514
x: 692.320303309094, y: -2.8777472784867086
x: 694.2249221900975, y: -3.4880151853318466
x: 696.1295410711009, y: -4.0982830921770415
x: 698.0341599521043, y: -4.708550999022179
x: 699.9387788331078, y: -5.318818905867374
x: 701.8433977141112, y: -5.929086812712512
x: 703.7480165951147, y: -6.539354719557707
x: 705.6526354761181, y: -7.149622626402845
x: 707.5572543571216, y: -7.75989053324804
x: 709.461873238125, y: -8.370158440093235
x: 711.3664921191285, y: -8.980426346938373
x: 713.2711110001319, y: -9.590694253783568
x: 715.1757298811353, y: -10.200962160628706
x: 717.0803487621388, y: -10.8112300674739
x: 718.9849676431422, y: -11.421497974319038
x: 720.8895865241457, y: -12.031765881164233
x: 722.7942054051491, y: -12.642033788009371
x: 724.6988242861526, y: -13.252301694854566
x: 726.603443167156, y: -13.86256960169976
x: 728.5080620481594, y: -14.472837508544899
x: 730.4126809291629, y: -15.083105415390094
x: 732.3172998101663, y: -15.693373322235232
x: 734.2219186911698, y: -16.303641229080426
x: 736.1265375721732, y: -16.913909135925564
x: 738.0311564531767, y: -17.52417704277076
x: 739.9357753341801, y: -18.134444949615897
x: 741.8403942151836, y: -18.744712856461092
x: 743.745013096187, y: -19.35498076330623
x: 745.6496319771904, y: -19.965248670151425
x: 747.5542508581939, y: -20.57551657699662
x: 749.4588697391973, y: -21.185784483841758
x: 750.2652278846374, y: -23.01602669220722
x: 751.0715860300772, y: -24.84626890057274
x: 751.8779441755173, y: -26.6765111089382
x: 752.6843023209574, y: -28.506753317303662
x: 753.4906604663975, y: -30.33699552566918
x: 754.2970186118373, y: -32.16723773403464
x: 755.1033767572774, y: -33.997479942400105
x: 755.9097349027174, y: -35.827722150765624
x: 756.7160930481573, y: -37.657964359131086
x: 757.5224511935974, y: -39.48820656749655
x: 758.3288093390374, y: -41.318448775862066
x: 759.1351674844775, y: -43.14869098422753
x: 759.9415256299174, y: -44.97893319259299
x: 760.7478837753574, y: -46.80917540095851
x: 761.5542419207975, y: -48.63941760932397
x: 762.3606000662373, y: -50.46965981768949
x: 763.1669582116774, y: -52.29990202605495
x: 763.9733163571175, y: -54.13014423442041
x: 764.7796745025573, y: -55.96038644278593
x: 765.5860326479974, y: -57.790628651151394
x: 766.3923907934375, y: -59.620870859516856
x: 766.4584741678702, y: -61.619778808278795
x: 766.524557542303, y: -63.61868675704068
x: 766.5906409167358, y: -65.61759470580262
x: 766.6567242911685, y: -67.61650265456456
x: 766.7228076656013, y: -69.61541060332644
x: 766.7888910400341, y: -71.61431855208838
x: 766.8549744144668, y: -73.61322650085026
x: 766.9210577888996, y: -75.6121344496122
x: 766.9259325761241, y: -77.61212850871573
x: 766.9308073633485, y: -79.61212256781931
x: 766.935682150573, y: -81.61211662692284
x: 766.9405569377975, y: -83.61211068602643
x: 766.945431725022, y: -85.61210474512995
x: 766.9503065122465, y: -87.61209880423354
x: 766.955181299471, y: -89.61209286333707
x: 766.9600560866954, y: -91.61208692244065
x: 766.9649308739199, y: -93.61208098154418
x: 766.9698056611444, y: -95.61207504064777
x: 766.9746804483689, y: -97.6120690997513
x: 766.9795552355934, y: -99.61206315885488
x: 766.9844300228178, y: -101.61205721795841
x: 766.9893048100423, y: -103.612051277062
x: 766.9941795972668, y: -105.61204533616552
x: 766.9946995556661, y: -107.61204526857631
x: 766.9952195140656, y: -109.61204520098715
x: 766.995739472465, y: -111.61204513339794
x: 766.9962594308645, y: -113.61204506580879
x: 766.9967793892638, y: -115.61204499821957
x: 766.9972993476633, y: -117.61204493063042
x: 766.9978193060626, y: -119.6120448630412
x: 766.998339264462, y: -121.61204479545205
x: 766.9988592228615, y: -123.61204472786284
x: 766.9993791812608, y: -125.61204466027368
x: 766.9994987079083, y: -127.61204465670204
x: 766.9996182345558, y: -129.6120446531304
x: 766.9997377612033, y: -131.6120446495587
x: 766.9998572878508, y: -133.61204464598705
x: 766.9998712875038, y: -135.61204464593806
x: 766.9998852871565, y: -137.61204464588906
x: 766.9998992868095, y: -139.61204464584006
x: 766.9999132864625, y: -141.61204464579106
x: 766.9999272861153, y: -143.61204464574206
x: 766.9999412857683, y: -145.61204464569306
x: 766.999955285421, y: -147.61204464564406
x: 766.999969285074, y: -149.61204464559506
x: 766.999983284727, y: -151.61204464554606
x: 766.3854394020079, y: -153.51528814447425
x: 765.7708955192886, y: -155.41853164340245
x: 765.1563516365695, y: -157.32177514233064
x: 764.5418077538502, y: -159.22501864125883
x: 763.9272638711311, y: -161.12826214018702
x: 763.3127199884118, y: -163.0315056391152
x: 761.849403634478, y: -164.39484904717852
x: 760.3860872805442, y: -165.7581924552419
x: 758.9227709266104, y: -167.1215358633052
x: 757.4594545726763, y: -168.48487927136858
x: 755.9961382187425, y: -169.8482226794319
x: 754.5328218648087, y: -171.21156608749527
x: 753.0695055108749, y: -172.5749094955586
x: 751.6061891569411, y: -173.93825290362196
x: 750.1428728030073, y: -175.30159631168527
x: 748.6795564490733, y: -176.66493971974865
x: 747.2162400951395, y: -178.02828312781196
x: 745.7529237412057, y: -179.3916265358753
x: 744.2896073872719, y: -180.75496994393865
x: 742.8262910333381, y: -182.118313352002
x: 741.3629746794043, y: -183.48165676006533
x: 739.8996583254702, y: -184.84500016812868
x: 738.4363419715364, y: -186.20834357619202
x: 736.9730256176026, y: -187.57168698425536
x: 735.5097092636688, y: -188.9350303923187
x: 734.046392909735, y: -190.29837380038205
x: 732.5830765558012, y: -191.6617172084454
x: 731.1197602018674, y: -193.02506061650874
x: 729.4103580065478, y: -194.06330150119604
x: 727.7009558112279, y: -195.1015423858833
x: 725.9915536159083, y: -196.1397832705706
x: 724.2821514205887, y: -197.1780241552579
x: 722.572749225269, y: -198.2162650399452
x: 720.8633470299492, y: -199.25450592463247
x: 719.1539448346296, y: -200.29274680931977
x: 717.4445426393099, y: -201.33098769400706
x: 715.7351404439903, y: -202.36922857869433
x: 714.0257382486705, y: -203.40746946338163
x: 712.3163360533508, y: -204.44571034806893
x: 710.6069338580312, y: -205.48395123275623
x: 708.8975316627116, y: -206.5221921174435
x: 707.1881294673917, y: -207.5604330021308
x: 705.4787272720721, y: -208.5986738868181
x: 703.7693250767525, y: -209.63691477150536
x: 702.0599228814328, y: -210.67515565619266
x: 700.350520686113, y: -211.71339654087996
x: 698.6411184907934, y: -212.75163742556725
x: 696.9317162954737, y: -213.78987831025452
x: 695.2223141001541, y: -214.82811919494182
x: 693.5129119048343, y: -215.86636007962912
x: 691.8035097095146, y: -216.9046009643164
x: 689.9706922095174, y: -217.7050883231821
